name,description,Generated Query
Cashback SBI Card,"5% cashback across all online spends with no merchant restriction; 1% cashback across all offline spends; Earn cashback of up to Rs. 5,000 per month; Renewal fee reversed on spending at least Rs. 2 lakh in a year; 1% fuel surcharge waiver of up to Rs. 100 per month",I want a credit card that provides cashback on my online shopping. I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I want a credit card with an annual fee waiver based on my spending habits.
BPCL SBI Card Octane,"25 reward points per Rs. 100 spent on BPCL fuel, lubricants & Bharat Gas; 1 reward point on others; 1% fuel surcharge waiver, up to Rs. 100 per month, on BPCL fuel spends of up to Rs. 4,000; 6,000 reward points as welcome bonus on fee payment, 1 RP = Rs. 0.25; 4 complimentary visits per year to domestic Visa lounges in India; Fee waived on Rs. 2 lakh annual spends & Rs. 2,000 e-gift voucher on Rs. 3 lakh annual spends",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts.
SBI Card ELITE,"2 reward points per Rs. 100 spent on other categories; Up to 50,000 bonus reward points as milestone benefits; 6 complimentary international lounge access in a year; 1.99% forex mark-up fee; Up to 8 complimentary domestic lounge access per year, 2 per quarter; Free movie tickets worth Rs. 6,000 in a year; Low forex mark-up fee of 1.99%",I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I frequently go to movies and events and need a credit card that provides entertainment benefits.
Yatra SBI Card,"Rs. 1,000 off on domestic flight bookings on a minimum transaction of Rs. 5,000 at Yatra; Rs. 4,000 off on international flight bookings on a minimum transaction of Rs. 40,000 at Yatra; 20% off on domestic hotel bookings on a minimum transaction value of Rs. 3,000 at Yatra; 6 reward points per Rs. 100 spent on departmental stores, grocery, dining, movies, entertainment & international spends; 1 reward point per Rs. 100 spent on other categories",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses. I enjoy dining out and want a credit card that offers restaurant discounts and rewards. I frequently go to movies and events and need a credit card that provides entertainment benefits.
IRCTC SBI Card Premier,"2,500 and 5,000 reward points on Rs. 50,000 and Rs. 1 lakh annual travel spends respectively; Rs. 10 lakh rail accident insurance, Rs. 50 lakh air accident cover & Rs. 1 lakh fraud liability cover; Save 1% transaction charges on IRCTC railway tickets & 1.8% transaction charges on IRCTC airline tickets; 8 complimentary visits to railway lounge in a year (Max. 2 per quarter); 3 reward points per Rs. 125 spent on dining & utilities & 1 reward point per non-fuel retail spends",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses. I love shopping and need a credit card that provides discounts on top brands and retail stores. I enjoy dining out and want a credit card that offers restaurant discounts and rewards.
SBI SimplyCLICK Credit Card,"1 reward point for every Rs. 100 spent on other categories; Amazon India gift card worth Rs. 500 on joining fee payment; Cleartrip/ Yatra e-voucher of Rs. 2,000 each on reaching annual spending milestones of Rs. 1 lakh and Rs. 2 lakh; Annual fee waived on reaching Rs. 1 lakh annual spends; 1% fuel surcharge waiver on fuel spends between Rs. 500 to Rs. 3,000",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts.
SBI SimplySAVE Credit Card,"2,000 bonus reward points on card activation; 10x rewards on movies, dining, departmental stores and grocery spends; Annual fee waiver on spending Rs. 1 lakh in a year; 1% fuel surcharge waiver on transactions between Rs. 500 to Rs. 3,000, up to Rs. 100 per statement cycle",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I enjoy dining out and want a credit card that offers restaurant discounts and rewards. I frequently go to movies and events and need a credit card that provides entertainment benefits. I want a credit card with an annual fee waiver based on my spending habits.
SBI Card Miles Elite,"2 Travel Credits per Rs. 200 spent with up to 1:1 redemption ratio for AirMiles or partner points; 5,000 Travel Credits as joining bonus on spending Rs. 1 lakh within the first 60 days; 1 additional domestic lounge visit with every Rs. 1 lakh spent in a year; 1.99% forex mark-up fee; 20,000 Travel Credits and annual fee reversal on Rs. 12 lakh and Rs. 15 lakh annual spends respectively",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses.
Titan SBI Credit Card,"3% value-back on spends at Tanishq (Quarterly capping of Rs. 25,000); 5% cashback on spends at Mia/Caratlane/Zoya (Quarterly capping of Rs. 10,000); 7.5% cashback on spends at World of Titan, Taneira, Titan Eye+, Helios, Fastrack, Skinn, Irth & Sonata (Quarterly capping of Rs. 10,000); 6 reward points per Rs. 100 on other spends",I need a credit card that offers cashback on my daily spending.
HDFC Diners Club Privilege Credit Card,"4 reward points per Rs. 150 spent on other categories; Up to 20% off on dining via Swiggy Dineout; Buy 1 Get 1 Free, up to Rs. 250 off per ticket, on BookMyShow weekend shows for max. 2 free tickets/month; Marriott/ Decathlon/ O2 Spa/ Barbeque Nation/ Lakme Salon Rs. 1,500 voucher on Rs. 1.5 lakh quarterly spends; Swiggy One & Times Prime annual memberships on Rs. 75,000 spends within the first 90 days; 2 complimentary airport lounge access worldwide per quarter on Rs. 15,000 quarterly spends",I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I enjoy dining out and want a credit card that offers restaurant discounts and rewards.
